DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-20 05:00:00+00:00,6.93,5.56,0.999,MILKING
2024-08-20 05:01:00+00:00,6.93,5.56,1.011,MILKING
2024-08-20 05:02:00+00:00,7.0,5.56,0.996,MILKING
2024-08-20 05:03:00+00:00,7.0,5.62,0.786,MILKING
2024-08-20 05:04:00+00:00,7.06,5.68,0.948,MILKING
2024-08-20 05:05:00+00:00,7.0,5.68,1.014,MILKING
2024-08-20 05:06:00+00:00,7.06,5.68,1.006,MILKING
2024-08-20 05:07:00+00:00,7.06,5.68,0.948,MILKING
2024-08-20 05:08:00+00:00,7.12,5.75,0.975,MILKING
2024-08-20 05:09:00+00:00,7.12,5.75,1.017,MILKING
2024-08-20 05:10:00+00:00,7.18,5.75,0.909,MILKING
2024-08-20 05:11:00+00:00,7.18,5.81,1.01,MILKING
2024-08-20 05:12:00+00:00,7.25,5.81,1.009,MILKING
2024-08-20 05:13:00+00:00,7.25,5.81,0.998,MILKING
2024-08-20 05:14:00+00:00,7.25,5.87,1.016,MILKING
2024-08-20 05:15:00+00:00,7.31,5.93,0.985,MILKING
2024-08-20 05:16:00+00:00,7.31,5.93,0.98,MILKING
2024-08-20 05:17:00+00:00,7.31,6.0,1.015,MILKING
2024-08-20 05:18:00+00:00,7.37,5.93,0.941,MILKING
2024-08-20 05:19:00+00:00,7.37,5.93,1.023,MILKING
2024-08-20 05:20:00+00:00,7.43,5.87,0.868,MILKING
2024-08-20 05:21:00+00:00,7.43,5.93,1.026,MILKING
2024-08-20 05:22:00+00:00,7.43,5.87,0.997,MILKING
2024-08-20 05:23:00+00:00,7.5,5.87,0.995,MILKING
2024-08-20 05:24:00+00:00,7.5,5.81,0.982,MILKING
2024-08-20 05:25:00+00:00,7.56,5.81,1.019,MILKING
2024-08-20 05:26:00+00:00,7.5,5.81,1.015,MILKING
2024-08-20 05:27:00+00:00,7.56,5.93,0.98,MILKING
2024-08-20 05:28:00+00:00,7.56,6.0,1.006,MILKING
2024-08-20 05:29:00+00:00,7.56,6.0,0.989,MILKING
2024-08-20 05:30:00+00:00,7.56,6.0,1.002,MILKING
2024-08-20 05:31:00+00:00,7.56,6.12,1.007,MILKING
2024-08-20 05:32:00+00:00,7.62,6.18,1.016,MILKING
2024-08-20 05:33:00+00:00,7.62,6.06,1.009,MILKING
2024-08-20 05:34:00+00:00,7.68,6.0,1.009,MILKING
2024-08-20 05:35:00+00:00,7.68,6.0,0.71,MILKING
2024-08-20 05:36:00+00:00,7.75,6.06,1.002,MILKING
2024-08-20 05:37:00+00:00,7.75,6.0,1.016,MILKING
2024-08-20 05:38:00+00:00,7.75,5.93,0.98,MILKING
2024-08-20 05:39:00+00:00,7.75,5.93,0.998,MILKING
2024-08-20 05:40:00+00:00,7.75,5.93,0.92,MILKING
2024-08-20 05:41:00+00:00,7.75,5.87,0.944,MILKING
2024-08-20 05:42:00+00:00,7.81,5.87,0.997,MILKING
2024-08-20 05:43:00+00:00,7.87,5.81,1.016,MILKING
2024-08-20 05:44:00+00:00,7.81,5.87,0.923,MILKING
2024-08-20 05:45:00+00:00,7.81,5.81,0.985,MILKING
2024-08-20 05:46:00+00:00,7.81,5.81,1.03,COOLING
2024-08-20 05:47:00+00:00,7.81,5.81,0.977,COOLING
2024-08-20 05:48:00+00:00,7.81,5.75,1.002,COOLING
2024-08-20 05:49:00+00:00,7.87,5.68,0.934,COOLING
2024-08-20 05:50:00+00:00,7.87,5.68,1.016,COOLING
2024-08-20 05:51:00+00:00,7.81,5.62,1.0,COOLING
2024-08-20 05:52:00+00:00,7.87,5.56,1.011,COOLING
2024-08-20 05:53:00+00:00,7.81,5.5,1.004,COOLING
2024-08-20 05:54:00+00:00,7.81,5.5,1.01,COOLING
2024-08-20 05:55:00+00:00,7.81,5.43,0.998,COOLING
2024-08-20 05:56:00+00:00,7.81,5.37,1.019,COOLING
2024-08-20 05:57:00+00:00,7.75,5.31,1.011,COOLING
2024-08-20 05:58:00+00:00,7.75,5.31,1.01,COOLING
2024-08-20 05:59:00+00:00,7.75,5.31,0.994,COOLING
2024-08-20 06:00:00+00:00,7.75,5.25,1.012,COOLING
2024-08-20 06:01:00+00:00,7.68,5.18,1.02,COOLING
2024-08-20 06:02:00+00:00,7.68,5.12,1.042,COOLING
2024-08-20 06:03:00+00:00,7.75,5.12,0.933,COOLING
2024-08-20 06:04:00+00:00,7.68,5.06,0.817,COOLING
2024-08-20 06:05:00+00:00,7.62,5.06,1.011,COOLING
2024-08-20 06:06:00+00:00,7.62,5.0,0.894,COOLING
2024-08-20 06:07:00+00:00,7.62,4.93,1.01,COOLING
2024-08-20 06:08:00+00:00,7.62,4.87,1.009,COOLING
2024-08-20 06:09:00+00:00,7.62,4.87,1.001,COOLING
2024-08-20 06:10:00+00:00,7.56,4.81,1.013,COOLING
2024-08-20 06:11:00+00:00,7.5,4.75,1.003,COOLING
2024-08-20 06:12:00+00:00,7.5,4.68,1.005,COOLING
2024-08-20 06:13:00+00:00,7.5,4.68,1.009,COOLING
2024-08-20 06:14:00+00:00,7.43,4.56,1.019,COOLING
2024-08-20 06:15:00+00:00,7.43,4.5,1.008,COOLING
2024-08-20 06:16:00+00:00,7.43,4.5,1.018,COOLING
